lesssons,sentences
14,Wetv duqv ziepc norm naang-nzung liuz haiz Saan Yunh yiem gaengh ndangc heuc ninh.
14,Gauv caux Saan Yunh bienh jienv ninh mbuo nyei ga'naaiv mingh uov ndiev ndoqv.
14,"Yiem ndoqv-hlen bungz njie ga'naaiv hnangv, haiz yuotv deix nyei"
14,"Saan Yunh gorngv, ""Haiz nyutc doqc haic, mbuo mingh lorz ganh norm dorngz laangh deix maah."""
14,"Gauv gorngv, ""Hnangv naaic nor mingh uov zungh ndiangx maah."""
14,"Lorz duqv ganh norm dorngz daaih, jiouc zorqv naang-nzung daaih kuangx jienv guaengx diux aqv."
14,Koqv guaengx njie mingh hnangv jiouc duqv dauh mbiauz da'aqc.
14,Ninh mbuo i dauh duqv hietc dauh mbiauz liuz buatc seqv nzengc.
14,Seqv liuz zuov yietc norm ziangh hoc m'deix dorngh liuz ninh mbuo jiouc nzuonx aqv.
15,Gauv nyei maa ih hnoi jiex sin daaih haiz maiv kuv-yiem.
15,Jiex sin daaih zoux maiv duqv lungh ndorm hnaangx nyanc.
15,Oix zuqv Meix caux Gauv zouv lai hnaangx daaih bun yietc zungv nyanc.
15,"Zouv ziangx lai hnaangx mingh, yietc zungv zueix jienv dieh hlen nyanc hnaangx."
15,Gauv nyei maa nyanc deix hnaangx yaac nyanc maiv nzengc.
15,Nyanc maiv nzengc yietc ienv hnaangx hnangv bungz zouc njiec gorngv nyanc maiv duqv aqv.
15,"Gauv nyei dae buatc Gauv nyei maa maiv longx aqv gorngv,"
15,"Meix aah, mingh meih nyei gou uov naaic gaax ninh uov hnoi mingh uov ndiev mungv maaiz duqv deix ndie daaih corc sei maaih nyei fai.
Ganv deix mingh naaic gaax meih nyei gou.
Mangc gaax ninh mbuo mingh ndeic mi'aqc fai.
Maiv gaengh mingh nor, gaan ninh tov deix ndie daaih bun meih maa nyanc gaax haih tengx nyei fai maiv haih tengx."
15,Meix tiux mingh ninh gou uov buatc ninh gou puotv ndau.
15,"Meix naaic ninh gou, ""Gou ih hnoi maiv mingh ndeic zoux gong?"""
15,"Gou dau, ""Ih hnoi mingh ndeic nyei lorqc. Ie puotv dangh ndau jiouc mingh aqv. A'Naix bungz ga'naaiv kung nzengc."""
15,"Oh. Nda'nyeic uov, ie daaih naaic gaax gou maaih deix ndie daaih bun a'maa nyanc nyei fai.
Ih hnoi a'maa haiz maiv longx.
Dae gorngv gou maaih deix ndie daaih haih tengx a'maa nyei."
15,"Gou dau, ""Ndie nor aengx maaih deix nyei lorqc."
15,"Gou maaih i nyungc ndie, maaih nyungc ndie-biouv caux maaih nyungc ndie-uom."
15,"Maa oix longc haaix nyungc?"""
15,"Ie maiv hiuv duqv maa oix longc haaix nyungc.
Ie haih dorh jienv i nyungc mingh nyei?"
15,"Haih nyei, longc maiv zuqc nor liuz aengx dorh jienv nzuonx daaih bun gou."
15,"Mh, laengz zingh oc gou aah. Hnangv naaic nor ie dorh mingh bun maa nyanc aqv louh."
15,"Meix dorh ndie mingh bun maa, liuz maa gorngv, ""Zorqv i norm ndie-biouv daaih bun maa maah."""
15,Meix doz i norm ndie biouv caux deix uom daaih bun maa.
15,"Maa nyanc liuz ndie, Meix dorh ninh mingh zueiz jienv gaengh ndaangc bun nziaaux buonc dangh."
